objectid,no_prop,no_kab,no_kec,no_kel,KABUPATEN,KECAMATAN,KELURAHAN,kepadatan_penduduk,wighted education score,weighted_employment_score,Kab_Gini_2018,Kab_Gini_2019,Kab_Gini_2020,Kab_Gini_2021,Kab_Gini_2022,Kab_Gini_2023,desa_gini_2018,desa_gini_2019,desa_gini_2020,desa_gini_2021,desa_gini_2022,desa_gini_2023
491152,35,21,13,2004,KAB. NGAWI,MANTINGAN,PAKAH,3.36508564,1588.7,1740.5,0.353,0.336,0.337,0.309,0.300,0.328,0.412723874,0.392847653,0.394016843,0.361279538,0.350756833,0.383494138
491154,35,21,17,2003,KAB. NGAWI,KARANGANYAR,GEMBOL,3.02549642,1240.2,1444.8,0.353,0.336,0.337,0.309,0.300,0.328,0.345271414,0.328643612,0.329621718,0.302234751,0.293431797,0.320818764
493298,35,21,8,2002,KAB. NGAWI,PADAS,BENDO,1.89639806,829,929.7,0.353,0.336,0.337,0.309,0.300,0.328,0.222777163,0.212048518,0.212679615,0.195008905,0.189329034,0.206999744
493302,35,21,2,2009,KAB. NGAWI,NGRAMBE,NGRAMBE,3.50837224,1809.5,2059.2,0.353,0.336,0.337,0.309,0.300,0.328,0.463261458,0.440951416,0.442263772,0.40551782,0.393706622,0.430452573
493306,35,21,7,2007,KAB. NGAWI,KARANGJATI,DUNGMIRI,1.64206436,771.9,761.2,0.353,0.336,0.337,0.309,0.300,0.328,0.193935743,0.184596062,0.185145455,0.16976245,0.164817912,0.180200917
493308,35,21,4,2004,KAB. NGAWI,KENDAL,PLOSO,2.35491516,1015.1,1060.2,0.353,0.336,0.337,0.309,0.300,0.328,0.267740088,0.254846089,0.25560456,0.234367386,0.227541151,0.248778325
493310,35,21,5,2006,KAB. NGAWI,GENENG,KENITEN,2.6687128,1323.8,1215.7,0.353,0.336,0.337,0.309,0.300,0.328,0.319343868,0.303964702,0.304869359,0.279538967,0.271397055,0.296727447
493312,35,21,6,2012,KAB. NGAWI,KWADUNGAN,MOJOMANIS,1.52027075,707.7,662.4,0.353,0.336,0.337,0.309,0.300,0.328,0.175510922,0.167058555,0.167555753,0.153634207,0.149159424,0.16308097
493315,35,21,9,2003,KAB. NGAWI,NGAWI,KARTOHARJO,2.82417875,1290,1156.5,0.353,0.336,0.337,0.309,0.300,0.328,0.317911901,0.302601697,0.303502297,0.278285489,0.270180086,0.295396894
493317,35,21,11,2001,KAB. NGAWI,KEDUNGGALAR,BEGAL,3.00257056,1343.6,1222.3,0.353,0.336,0.337,0.309,0.300,0.328,0.335028117,0.318893618,0.319842707,0.293268238,0.284726445,0.311300913
493319,35,21,14,2007,KAB. NGAWI,PANGKUR,NGOMPRO,2.1385524,1010.9,1008.9,0.353,0.336,0.337,0.309,0.300,0.328,0.25448043,0.242224999,0.242945906,0.22276049,0.21627232,0.236457737
496741,35,21,19,2002,KAB. NGAWI,KASREMAN,CANGAKAN,1.77818662,880.3,1001.7,0.353,0.336,0.337,0.309,0.300,0.328,0.228243915,0.217251999,0.217898582,0.199794249,0.193974999,0.212079332
496766,35,21,2,2001,KAB. NGAWI,NGRAMBE,HARGOMULYO,2.71957954,1240.2,1182.9,0.353,0.336,0.337,0.309,0.300,0.328,0.311604514,0.296598064,0.297480797,0.272764291,0.2648197,0.289536206
496767,35,21,2,2004,KAB. NGAWI,NGRAMBE,WAKAH,2.92662867,1401.5,1477.4,0.353,0.336,0.337,0.309,0.300,0.328,0.357675304,0.340450148,0.341463392,0.313092546,0.303973346,0.332344192
496768,35,21,3,2012,KAB. NGAWI,JOGOROGO,SOCO,2.12923878,947,921.3,0.353,0.336,0.337,0.309,0.300,0.328,0.241528474,0.229896791,0.230581008,0.211422942,0.205264992,0.224423058
496770,35,21,12,2001,KAB. NGAWI,WIDODAREN,BANYUBIRU,5.40548673,2463.7,2989.8,0.353,0.336,0.337,0.309,0.300,0.328,0.671256584,0.638929779,0.640831356,0.587587208,0.570473017,0.623717166
496772,35,21,13,2006,KAB. NGAWI,MANTINGAN,PENGKOL,2.33557147,1073.6,1202,0.353,0.336,0.337,0.309,0.300,0.328,0.283491608,0.269839038,0.27064213,0.248155543,0.240927712,0.263414299
